date,GDP,PCE,IP
1959 Q1,3121.936,312.7,23.4004
1959 Q2,3192.38,318.2,24.2866
1959 Q3,3194.653,324.2,22.8743
1959 Q4,3203.759,322.9,24.2589
1960 Q1,3275.757,330.2,24.4528
1960 Q2,3258.088,330.1,23.9266
1960 Q3,3274.029,333.4,23.5666
1960 Q4,3232.009,331.3,22.7635
1961 Q1,3253.826,337.7,22.902
1961 Q2,3309.059,340.9,24.065
1961 Q3,3372.581,344.4,24.5358
1961 Q4,3438.721,352.4,25.6158
1962 Q1,3500.054,357.4,25.9482
1962 Q2,3531.683,360.4,25.9205
1962 Q3,3575.07,368.8,26.3635
1962 Q4,3586.827,373.6,26.502
1963 Q1,3625.981,375,27.1666
1963 Q2,3666.669,381.7,27.8313
1963 Q3,3747.278,385.5,28.0528
1963 Q4,3771.845,394.7,28.3297
1964 Q1,3851.366,401.8,28.7728
1964 Q2,3893.296,411.4,29.4928
1964 Q3,3954.121,416.6,29.9913
1964 Q4,3966.335,421,30.8498
1965 Q1,4062.311,433.3,31.7913
1965 Q2,4113.629,435.2,32.4283
1965 Q3,4205.086,452,32.9544
1965 Q4,4301.973,461.7,33.8406
1966 Q1,4406.693,475,34.8652
1966 Q2,4421.747,475.5,35.4191
1966 Q3,4459.195,489.2,35.9729
1966 Q4,4495.777,491.8,36.056
1967 Q1,4535.591,495.8,35.6133
1967 Q2,4538.37,506.8,35.6311
1967 Q3,4581.309,515.6,36.1723
1967 Q4,4615.853,525.1,37.3868
1968 Q1,4709.993,544.3,37.5974
1968 Q2,4788.688,556.3,38.214
1968 Q3,4825.799,568.2,38.4068
1968 Q4,4844.779,576.5,39.1039
1969 Q1,4920.605,588.9,39.9027
1969 Q2,4935.564,600.9,39.9925
1969 Q3,4968.164,613.2,40.287
1969 Q4,4943.935,622.8,39.8118
1970 Q1,4936.594,632.3,38.9981
1970 Q2,4943.6,646.3,38.7269
1970 Q3,4989.159,659.1,38.4856
1970 Q4,4935.693,665.6,38.3482
1971 Q1,5069.746,682,38.5278
1971 Q2,5097.179,699.8,39.104
1971 Q3,5139.128,713,39.3942
1971 Q4,5151.245,728.4,40.3177
1972 Q1,5245.974,749.2,41.9746
1972 Q2,5365.045,761.6,42.5166
1972 Q3,5415.712,781.1,43.3918
1972 Q4,5506.396,806.1,45.0015
1973 Q1,5642.669,832.8,45.9872
1973 Q2,5704.098,844.3,46.2509
1973 Q3,5674.1,869.2,46.7803
1973 Q4,5727.96,876.6,47.2315
1974 Q1,5678.713,901.4,46.7685
1974 Q2,5692.21,928,46.9233
1974 Q3,5638.411,955.1,46.5136
1974 Q4,5616.526,961.8,43.234
1975 Q1,5548.156,990.6,41.2135
1975 Q2,5587.8,1026.8,41.4224
1975 Q3,5683.444,1054.8,42.7796
1975 Q4,5759.972,1092.1,43.5973
1976 Q1,5889.5,1114.9,44.7125
1976 Q2,5932.711,1140.5,45.183
1976 Q3,5965.265,1168.8,45.9031
1976 Q4,6008.504,1211.5,47.0854
1977 Q1,6079.494,1238.3,48.131
1977 Q2,6197.686,1263.6,49.3428
1977 Q3,6309.514,1294.5,49.6639
1977 Q4,6309.652,1336,49.8949
1978 Q1,6329.791,1377.5,50.3928
1978 Q2,6574.39,1425.8,51.9833
1978 Q3,6640.497,1452.9,52.286
1978 Q4,6729.755,1496.5,53.3886
1979 Q1,6741.854,1531.2,53.4973
1979 Q2,6749.063,1575.7,53.3157
1979 Q3,6799.2,1633.9,52.9486
1979 Q4,6816.203,1666.3,53.2603
1980 Q1,6837.641,1708.2,53.3294
1980 Q2,6696.753,1718.8,50.3348
1980 Q3,6688.794,1780.5,50.9386
1980 Q4,6813.535,1851.7,52.7685
1981 Q1,6947.042,1902.9,52.5025
1981 Q2,6895.559,1934.5,52.8284
1981 Q3,6978.135,1965.5,52.8514
1981 Q4,6902.105,1988.8,51.3274
1982 Q1,6794.878,2024.1,50.9104
1982 Q2,6825.876,2048.1,49.9692
1982 Q3,6799.781,2104.6,49.226
